      time     memory       swap
1493876809     513852       3648
1493876810     513524       3648
1493876811     513608       3648
1493876812     513772       3648
1493876813     513792       3648
1493876814     514136       3648
1493876815     513652       3648
1493876816     511916       3648
1493876817     511984       3648
1493876818     512356       3648
1493876819     511888       3648
1493876820     511968       3648
1493876821     511384       3648
1493876822     511932       3648
1493876823     511744       3648
1493876824     511696       3648
1493876825     512164       3648
1493876826     511992       3648
1493876827     512272       3648
1493876828     511996       3648
1493876829     512412       3648
1493876830     511664       3648
1493876831     511916       3648
1493876832     511520       3648
1493876833     511884       3648
1493876834     512044       3648
1493876835     512036       3648
1493876836     511752       3648
1493876837     511500       3648
1493876838     511700       3648
1493876839     511064       3648
1493876840     511204       3648
1493876841     510980       3648
1493876842     511640       3648
1493876843     511368       3648
1493876844     512068       3648
1493876845     511528       3648
1493876846     511596       3648
1493876847     511640       3648
1493876848     511272       3648
1493876849     511676       3648
1493876850     512004       3648
1493876851     511640       3648
1493876852     511620       3648
1493876853     511616       3648
1493876854     511320       3648
1493876855     511524       3648
1493876856     511896       3648
1493876857     511624       3648
1493876858     511440       3648
1493876859     511816       3648
1493876860     511504       3648
1493876861     511604       3648
1493876862     511696       3648
1493876863     511788       3648
1493876864     511740       3648
1493876865     511208       3648
1493876866     511320       3648
1493876867     511632       3648
1493876868     511516       3648
1493876869     511568       3648
1493876870     511632       3648
1493876871     511912       3648
1493876872     511676       3648
1493876873     511988       3648
1493876874     511772       3648
1493876875     511692       3648
1493876876     512112       3648
1493876877     511508       3648
1493876878     511568       3648
1493876879     511988       3648
1493876880     511428       3648
1493876881     511752       3648
1493876882     511996       3648
1493876883     512088       3648
1493876884     512460       3648
1493876886     512072       3648
1493876887     512024       3648
1493876888     512540       3648
1493876889     512044       3648
1493876890     511696       3648
1493876891     511792       3648
1493876892     512232       3648
1493876893     512180       3648
1493876894     512180       3648
1493876895     511884       3648
1493876896     511936       3648
1493876897     512076       3648
1493876898     511812       3648
1493876899     512076       3648
1493876900     511976       3648
1493876901     511408       3648
1493876902     511480       3648
1493876903     511728       3648
1493876904     512100       3648
1493876905     512024       3648
1493876906     511992       3648
1493876907     511868       3648
1493876908     511884       3648
1493876909     512076       3648
1493876910     511428       3648
1493876911     511524       3648
1493876912     511804       3648
1493876913     511896       3648
1493876914     511804       3648
1493876915     511780       3648
1493876916     511888       3648
1493876917     511832       3648
1493876918     512080       3648
1493876919     511444       3648
1493876920     511708       3648
1493876921     512032       3648
1493876922     511708       3648
1493876923     511648       3648
1493876924     512160       3648
1493876925     511756       3648
1493876926     511456       3648
1493876927     511224       3648
1493876928     511524       3648
1493876929     511588       3648
1493876930     511620       3648
1493876931     511620       3648
1493876932     512008       3648
1493876933     511748       3648
1493876934     511552       3648
1493876935     511584       3648
1493876936     511476       3648
1493876937     511460       3648
1493876938     511600       3648
1493876939     511592       3648
1493876940     511264       3648
1493876941     511592       3648
1493876942     511476       3648
1493876943     511640       3648
1493876944     511804       3648
1493876945     511928       3648
